docname,pre,keyword,post
UCVfWuE9hwFdebWlgNecxrJw.1,On peut,toutes et tous,mimer . . . Voire quelqu ' un qui caresse les pages d ' un
UC9EVSoZ3d_f2Uuyhg3nLF1Q.1,aussi plus calculé : on ne connaît plus la prise de risque de parler à,un ou une,"inconnu ( e ) , on le ou la "" checke "" au préalable sur"
UCZ-rQ6rjxgXwQafjStOb9mw.16,"exclue , je crois que je l ' ai déjà dit ci-dessus , rare sont",celles et ceux,qui ne boivent pas en soirée d ' ailleurs : / Je suis un sociable
UC9EVSoZ3d_f2Uuyhg3nLF1Q.1,"prise de risque de parler à un ou une inconnu ( e ) , on",le ou la,""" checke "" au préalable sur Internet . On se protège trop . Trop de"
UCzgab7I9nsTJtOkGDOCxrdQ.1,"une liberté tout simplement . Courage , la vie est difficile mais elle récompense toujours",celles et ceux,qui travaillent le plus dans ce qu ' ils aiment : )
UCFRIRihMjzBRgFqE16tjsNQ.3,et ainsi que des réseaux sociaux qui abrutissent de plus en plus le niveaux de,tous et toutes,", bien sur qu ' il y a de quoi être dépressif . C '"
UCpgaRAKwsqpqz9ulP1UHgVw.3,pour l ' environnement la récupération voyons ! ! Deux aller retour en avion pour,celles et ceux,", ça valait la peine"
UCCrMWkhX9-o1QkdCyYF-MuA.6,"Ne rêve pas ,",le prochain ou la prochaine,sera trop content que MACRON ait fait le sale boulot .
UC8bvbyqAzn3amS5XjRlDClQ.4,n ' y a pas dans son entourage ou au sein de la population que,celles et ceux,"qui veulent la paix ( à quelles conditions ? ) , mais aussi la faction"
UCiCMVwKeqjlbK7GNGhy8PWA.81,"avec toi , il a le mérite de transporter l ' info jusqu ' à",celles et ceux,qui ne regarde pas forcément les infos télévisé / papier / sonore ; )
UCKJuMF6IpTDLJCAxl_gZB4w.2,Sébine . Elle a fini par se suicider en avalant un médicament . Pour toutes,celles et ceux,qui sont curieux de ce à quoi peut ressembler quelqu ' un qui demande à
UCdisiXdagyqppVKBDSPIiBQ.3,biais d ' une chaîne youtube d ' information par exemple ) la parole de,celles et ceux,qui dénoncent de telles violences . Ce n ' est pas une prise de parti
UC95thcLIgKHrePh6AFyqjBA.1,", car c ' est un événement qui touche la sensibilité de plusieurs milliers de",québécois et québécoises,et c ' est une journée qui marquera la cœur du Québec avec la Polytechnique
UCZeGNmKXVe6X_L32Dz1pxjQ.1,Bonsoir a,toutes et tous,. Je suis prof en classes prépa . C ' est une superbe formation avec
UCrjq5DIQ5UV3RAT2ESadeiQ.192,Une piste pour améliorer la santé mentale des travailleurs : proposer à,celles et ceux,"qui le désirent de passer à la semaine de 4 jours , que ce soit"
UCyqNAxeGmO1RadtGkfg_LTw.7,Partons en reconquête ! Puisse Dieu apaiser le passé Coloniale et permettre à,celles et ceux,qui le veulent d ' être Français dans leurs coeurs ! Vive la France vive
UCjbSm29QikHaGSDSMthO9eA.1,. Ils pourront en même temps avoir l ' argent pour augmenter les salaires de,toutes et tous,", bien que je pense aussi que le gouvernement de Macron va utiliser cet argent"
UCqv3YP606cfSnzq-gv1VvhQ.3,audience est plus forte que l ' année dernière . Cela donne une idée de,celles et ceux,qui votent sur cette chaîne et qui représentent probablement par ailleurs une minorité du public
UC7D69pfyBPU-t0mmNSe23lA.1,"À Groland , Emmanuel Micron a trouvé la solution . Il a demandé aux",grolandaises et grolandais,de pisser tous en même temps dans les campagnes . Je vous assure que les
UCYElCidn9mDY3JU9YD6Y09Q.6,C ' est un drame pour,celles et ceux,qui souffrent d ' infertilité . Une peine viscérale .
UCYElCidn9mDY3JU9YD6Y09Q.7,Ce commentaire est tellement méchant et violent pour,celles et ceux,qui vivent l ' infertilité .
UCORrCvHIzykKGrRIRmAJFSA.4,ni de réserve . le but c ' est de montrer qu ' on est,toutes et tous,des êtres humains et pas du bétail pour les plus riche . avis personnel .
UCQUq6zjjmOfBPFsERGFcW0Q.2,Aucune panique à avoir pour,celles et ceux,qui n ' ont rien investi dans FTX ! ! ! !
UCzhI7Ia4IzKrMuQtkoTQgMQ.1,l ' économique pour démontrer qui fait tourner le pays ( spoil alert : les,travailleurs et travailleuses,) et donc mener un bras de faire économique envers les employeurs / gvt .
UCfQCZBVfksg54mT3F9bXzxg.1,aucune attention en passant par deux youtubers qui n ' apportent rien ( et pour,celles et ceux,"qui contrediraient , j ' anticipe : non , ils n ' apportent vraiment rien"
UCRezDMqhdtzw4zoOiblr-GQ.8,/ femmes violés et détruits en France car y ' a une complaisance pour les,prédateurs et prédatrices,", que les observatoires sont fermés les uns après les autres . . . Que"
UCyyDQMJNWiqfWZ1r0zS_3Gg.11,"( donc pas grand chose je l ' admets ) , tout mon soutien à",celles et ceux,victimes de cyberharcèlement et de harcèlement sexuel et moral .
UCi1GNl5WtQpv6kta0rvgrUA.20,"sentir sali ( e ) . Courage à toutes ces femmes , et a toutes",celles et ceux,qui sont victimes .
UC8ncEPdiSU4ecAgFbYHZjgA.359,bake Ou rejoindre et / ou soutenir,celles et ceux,qui luttent pour un meilleur partage des richesses et reconstruire les services publics détricotés et
UCrjq5DIQ5UV3RAT2ESadeiQ.57,moins si on passe à la semaine de 4 jours pour,toutes et tous,
UC15SDiVXZ-W9K8g1EtwEGkg.72,Comment vont faire les jeunes,musulmans et musulmanes,et autres croyants ?
UCIth4XmMwb2zbc-Sf8DDJMw.1,je suis patron je suis là uniquement pour superviser … . Faudrait quand même que,certains et certaines,se remettent en question … . C ' est quand même fou d ' entendre
UCdQOOo0eQmEU25xZhkkF9vA.1,""" par",un ou une,"journaliste de l ' équipe "" , vous avez vos carte de presse ou bien"
UCxCD4jsvgrG_S_4V24sh28Q.1,1 : 04 On dit,le ou la,Covid ?
UCwmwCb-x2uPRJpo6p-7B7lg.65,"de vouloir faire croire que seul Macron est indigne de la fonction , se sont",toutes et tous,des vendus qui disent se soucier du peuple mais veulent par dessus tout garder tout
UC2Ki8tjlxjbd8HIQ5pZBNYw.3,. Je vais réagir au sondage IFOP sur les envies de maternité . Question pour,celles et ceux,"qui veulent y répondre , vous voulez des enfants ? Perso , je trouve que"
UCVOoIh91yOIn_EXi3aGMM-g.1,Le,steameur ou steameuse,se fais ban . . . C ' est déjà arrivé man
UCrjq5DIQ5UV3RAT2ESadeiQ.63,"que ça va être des trucs de fou , style semaine à 4 jours pour",toutes et tous,", hologrammes 3D remplaçant les écrans , avions hypersoniques pas chers non polluants , découverte"
UCFRIRihMjzBRgFqE16tjsNQ.6,"l ' actualité est très chargée "" ? Bien sur que non ! On sait",tous et toutes,que nos médias n ' en parlent pas ou très peu parce que tous sont
UCxp81OvB2GHS_oM8RVvH2OQ.11,Je rêve de cette époque ou,celles et ceux,"qui disent "" regardez les chiffres "" le feront dans une critique économique des politiques"
UC5rbOCBiP-KkieNb95RH9TQ.1,Pour,celles et ceux,qui se demandaient pourquoi Hanouna était souvent virulent à l ' égart d ' Arthur
UCiU2S2-R4GvEmv5GnOu-10g.11,""" , en tant que français je n ' ai aucune sympathie ou réaction pour",celles et ceux,qui ont pour seul mérite d ' être née avec une situation . Au 21
UCPcCXJdaoYeIiLIpO1-4bHw.9,nu . . . 🤣 🤣 🤣 🤣 🤣 il y ' a trop de,menteurs et menteuses,dans cet monde . . .
UCwmwCb-x2uPRJpo6p-7B7lg.73,"autrui nous a poussé au nombrilisme w et à la surconsommation , nous y participons",toutes et tous,a plusieurs échelons
UChqTj6Q1qkNa8amAgKOW3sA.26,de 0 à 10 il est à 2 en gros ) . Si je vois,un ou une,"pote se faire larguer et donnant une gifle sous l ' émotion , je lui"
UC0uJ5XnHpWQgyiDz5X2MwYA.1,ne sait de quoi parler tant il y a de problèmes partout . Merci à,celles et ceux,"qui auront lu tout mon laïus et qui pourquoi pas , y répondront . ^"
UCNcgkNm6pj68OGydbfMhhIQ.8,ne nous avaient pas rendu esclaves de leurs produits de merde . A tous les,fumeurs et fumeuses,"qui sont encore vivants sans tumeur ni cancer , et qui ne sont pas encore"
UCduizJG-wQMK8lWWI7a0GMw.1,utilisée pour fixer le prix de l ' électricité . Pour la faire courte à,celles et ceux,"que ça intéresse , la production d ' électricité en Europe est mutualisée via notre"
UCwmwCb-x2uPRJpo6p-7B7lg.78,pas l ' accepter car c ' est déjà le cas et nous y avons,toutes et tous,"consenti . L ' anonymat n ' existe absolument pas , tout faits et gestes"
UC8ncEPdiSU4ecAgFbYHZjgA.188,"plus ou moins ) , comme à des béquilles pour leur égo . Nous sommes",toutes et tous,différent ( e ) s MAIS à égalité . Allez faire courir un 800 ou
UCRHqk7kPvTUUo2Rdb_NrE5g.2,"en parler , et ce serait en plus une voix de communication supplémentaire , pour",celles et ceux,qui ne sont pas au courant
UCwmwCb-x2uPRJpo6p-7B7lg.82,tout notre confort au quotidien . Mais au détriment d ' autrui . Nous voulons,toutes et tous,du changement mais à quel prix ? Dans un monde où des entreprises permettent à
UCtCjZnvhnH9ZmPLxIoEHkcw.1,", jamais tu te laisses "" embarquer "" dans un truc aussi malsain innocemment avec",un ou une,"ado , c ' est pas du tout un hasard , c ' est totalement"
UCKYCeM2a1vUmi3-S07rIHNA.3,votre chaîne et ses infos courtes et très bien expliquées je voudrais juste signaler à,celles et ceux,qui aiment avoir une voiture propre que l ' on peut la laver à sec
UCvQyGcuxHyMQopCo-iq35Ng.4,Faut couper le jus à tous les,influenceurs et influenceuses,💀 💀 💀
UCHn00yTTVJOvrrMNnm_TjLw.3,Penser à toute,celles et ceux,qui transpire dans leur lit à 23 h avec les fenêtre ouverte 😅
UCluwFSsw7W_-C88OuqSnmVA.4,"dire non . Pour la défense du modèle social français et des services publics ,",toutes et tous,en grève et dans la rue demain ! ✊
UCrjq5DIQ5UV3RAT2ESadeiQ.160,"terme : - aux fausses accusations , qui surviennent parfois 15 ans après - aux",violeurs et violeuses,qui s ' en sortent sans devoir rendre des comptes auprès de la justice pour
UC7UrRPEc4uyduIdrqHVIYdQ.6,"Ma compagne me "" chauffe "" souvent quand je n ' ai pas envie .",Certains et certaines,appellerait ça une violence sexuel si c ' était l ' inverse . Ou bien
UC9ZpIYJOgSWVsKnHQa7gTew.98,"femmes Et en posant à d ' autres personnes la question : "" citez des",candidats ou candidates,"qui pourraient finir premier ministre "" On obtenait trois fois plus de candidates femmes ("
UC_1tcwE5dBtg5MzPaqmdclA.18,Boulogne Mon commentaire ( certes un peu provocateur ) visait à pointer du doigt,celles et ceux,qui se placent en juge sans preuves aucunes . Je n ' exprime à aucun
UCNNmkW-PWgLWKcjjT9Ug2VQ.3,"Woah , alors je ne visais pas un sexe en particulier , mais toutes",celles et ceux,qui sont suffisamment cinglés pour faire ce genre chose . Et ça se fait sûrement
UCd7IZGrXloHd3Zz5pz9Jv7Q.7,"la biais de ce que La Boétie nommait "" la servitude volontaire "" , et",celles et ceux,qui gobent leur manipulation lexicale et politique au point de ne même pas savoir ce
UCtFO-XDu9-IlyL7Zum_F2hg.21,"Dimanche , n ' oubliez pas d ' aller voter pour choisir",celles et ceux,qui décident nos lois 😉
UCtFO-XDu9-IlyL7Zum_F2hg.24,oubliez pas d ' aller voter dimanche 😉 Voter aux législatives c ' est choisir,celles et ceux,qui proposent et votent les lois qui nous impactent au quotidien et parfois pour longtemps
UCgb9JRN8gas4XfIyfF6G_6g.20,intelligence ou qu ' ils ne veulent pas le voir . . . on connait,tous et toutes,la réponse . . . sauf pour l ' étude de la Fondation Jean Jaurès
UCrjq5DIQ5UV3RAT2ESadeiQ.121,utiles . C ' est la raison pour laquelle je propose d ' instaurer pour,toutes et tous,"la semaine de 4 jours , et ce même dans les secteurs d ' activités"
UCrjq5DIQ5UV3RAT2ESadeiQ.121,terme ( le 5e jour non travaillé n ' étant pas nécessairement le même pour,toutes et tous,") , et fait sens d ' un point de vue écologique ."
UCtFO-XDu9-IlyL7Zum_F2hg.27,Bravo à,celles et ceux,qui ont été bloquer le siège de Total pacifiquement .
UCrV7iPdOf_MnSWO2OzNs_Tw.2,"frais et indépendant . Merci à vous surtout , de nous apporter cela . Passez",toutes et tous,une très bonne fin d ' année . 2022 . On se retrouvera pour la
UCtV1I3BcrrP1eA2neIsyXAA.2,""" En bref GrèCe SNCF "" au lieu de "" Grève "" Bonne fête à",toutes et tous,
UCsOsfGramAT7cFRQdNyVXdg.2,de l ' Élysée . Les responsables des cinq ans de plus de Macron ?,Celles et ceux,qui ont voté Jadot Roussel et compagnie par bêtise ou fierté alors que le ralliement
UCSBsV7ObxI5plUAoIH11ysQ.10,que personne trans tu devrais savoir que les grandes difficultés que l ' on rencontre,toutes et tous,dans nos parcours de transitions peuvent avoir des conséquences dramatiques
UCxL8KU5HrN76OjvpLaHjRBA.2,oubliez pas,celles et ceux,qui vont voté Macron . vous pleurerez ensuite avec les lbd et les perte de
UCiMIOuuADYP0YJQzUsJaLnQ.115,Oubliez pas,celles et ceux,qui ont votés Le Pen . Vous pleurerez ensuite avec la police armée et relativement
UCsHBtmb1plgDZ-R8rjfvGMA.2,Quand tu devient,influenceur ou influenceuse,"c ' est ton lot quotidien le harcelement , faut faire face a tout les"
UCYaM-V8M74MxadwIrYnNLxg.6,"abusifs , il y en aura toujours . Mais le pire , c ' est",celles et ceux,qui laisseront faire . . . ! !
UCGV8i_juUlgKpz8iPVZLO1A.1,"Les gens sont complètement ravagés , tu peux apprécier",un ou une,streameuse ou influenceur / se sans t ' imaginer des choses ou le / la
UC8ncEPdiSU4ecAgFbYHZjgA.435,"monter et cette politique de l ' exclusion finira immanquablement par toucher , aussi ,",celles et ceux,qui croyaient qu ' il suffirait simplement de donner la priorité aux français . Martin
UCEVbj-zWzbuSyfXuX6xqkjA.5,"faire face à un "" retour comme avant "" ! Je m ' adresse aux",éducateurs et éducatrices,", si vous avez un gosse maltraité , s ' il demande , et même"
UCyQwZYQuR8r9OwtRgyLyI_A.2,"+ le problème démographique ) , ils sont lobotomisés à la propagande et gare à",celles et ceux,qui essaient de voir au-delà de la propagande éhontée du dictateur . . . .
UCAiGgEjc6Rpuh2-ToRia31g.6,"d ' énoncer mais c ' est bien le principe , relayé des infos pour",celles et ceux,qui n ' utilisent que YouTube pour informations ( et qui ne lisent pas le
UCfQCZBVfksg54mT3F9bXzxg.15,faire en plus une vidéo à part et en détail sur la chaîne principale pour,celles et ceux,"qui veulent vraiment apprendre , comprendre , agir , . . . On parle ici"
UCJeTLYpNH1u-nufGvwQR1ig.6,"""",celles et ceux,""" Atomix"
UCW7zW11Ir58wRW-OY2WMvDw.123, est des génies le régime iranien . C ' est pas comme si les,manifestantes et manifestants,avaient besoin de nouveaux martyrs
UCjuH538zpGh9Ylq8zhpi5yg.5,", pour que les choses soient claires , il est le plus souvent écrit les",croyants et les croyantes,. J 3spere avoir pu t éclairer sur ce point
UCfuJDisRaGsp_sEL60i4TEw.2,pour,celles et ceux,"qui disent : "" gngngn donner des infos c ' est pas fatiguant arrêtez de"
UC2CXAdnY3qbqDazciiBS5MQ.1,la démonétisation ou que ce soit parce que la vision de ce mot puisse heurter,certaines et certains,"d ' entre nous , mais d ' un autre côté , vous le dites"
UCyyDQMJNWiqfWZ1r0zS_3Gg.22,A toutes,celles et ceux,"qui voudraient savoir comment aider concrètement l ' Ukraine , en étant sûrs de ne"
UCJdVCmKwGQILnLctRwjH7-A.13,une agression sexuelle d ' après la police . . . Soutien inconditionnel à toutes,celles et ceux,qui ont subit ou qui subissent des violences sexuelles . La France devrait réagir face
UCrjq5DIQ5UV3RAT2ESadeiQ.183,"mêmes choses quotidiennement , cela peut déteindre sur la vision des choses qu ' on",certaines et certains,"jeunes . Par exemple , le sujet de l ' écologie est abordé quasi quotidiennement"
UCQLihe9LO3gTyTi_8D9IrDQ.3,Bonne nouvelle année chinoise pour l ' année du tigre d ' eau pour,celles et ceux,qui fêtent cette cérémonie !
UC3I_H3ohkwNvwjhT1hs_fNw.1,"officiel , où il serait écrit les pratiques établies avant tournage , le consentement des",acteurs et actrices,", le nombre de scènes , le cachet , etc . . . Certaines productions"
UCrjq5DIQ5UV3RAT2ESadeiQ.183,"est important , mais le rabâcher sans cesse peut générer de l ' éco-anxiété chez",certaines et certains,", voire ériger la cause en "" religion "" . Une jeune fille m '"
UC3I_H3ohkwNvwjhT1hs_fNw.1,"de "" Collaboration "" , il s ' agit de création de contenu où les",acteurs et actrices,( surtout des amateurs / amatrices ) ne sont même pas payer pour leurs prestations
UCE8WhQXZr0l0GIia1ZbdSuQ.2,Pour,celles et ceux,qui n ' auraient pas encore compris le plan maléfique des « élites » auto-proclamées
UCFnphTnw_PEt8S0KZ6HjgSQ.1,Très bonne vidéo ! Félicitation à,celles et ceux,"qui se sont occupés des illustrations type jeux-videos , c ' est très bien fait"
UCfSzfHe2uFZPwFpeDIWOs4A.7,homme . Quel charisme cet empireur . Quel instinct aussi . Qu ' on oublie,celles et ceux,"qui sont tombés au combat , ils ne représentent RIEN . C ' est lui"
UC3I_H3ohkwNvwjhT1hs_fNw.1,"pas la réalité en France , regardez les sportifs , les ministres ou même les",acteurs et actrices,"de films "" classiques "" qui gagnent bien plus qu ' eux et de très"
UCrjq5DIQ5UV3RAT2ESadeiQ.192,. Ce 3e jour hebdomadaire non travaillé ne doit pas nécessairement être le même pour,toutes et tous,", bien au contraire . Enfin , cette mesure fait sens d ' un point"
UC3I_H3ohkwNvwjhT1hs_fNw.1,"plus qu ' eux et de très loin , seulement une infime poignet d '",acteurs et actrices,"gagnent plus de 1000 € la scène , bien souvent cela tourne autour de 200"
UCvKr1AUISBEMTZUlk6FMttw.4,ne sont pas issues de la raison universelle mais de la raison modifiée arrangée par,celles et ceux,tenant la barre du navire qui ne dérive pas d ' un poil du cap
UC3I_H3ohkwNvwjhT1hs_fNw.1,", ce qui leurs rapportent énormément par rapport à ce qu ' ont touchés les",acteurs et actrices,pour la scène . J ' espère vraiment que le gouvernement prendra de vraies mesures
UCvKr1AUISBEMTZUlk6FMttw.8,"gardiens de la paix . . . la magie des mots , magie noire pour",celles et ceux,au pouvoir 😉 👍
UCERfO_uBJDq0oqayAqoym7w.2,sens propre puisqu ' il coûte un oeil à une mère inquiète . Bravo à,celles et ceux,qui s ' improvisent médiateur.trice.s dans ces moments où des drames peuvent survenir . Des
UC2taGoifKqkHYnmijZCm0jw.1,une reconnaissance en tant que travailleurs / travailleuses et lutter contre les violences faites aux,travailleurs et travailleuses,"du sexe et contre leur discrimination . En gros , écouter ce que disent à"
UCcjeMP1uPlwtGcEVOzM43AA.1,Réveilleur ( coutumier des contenus de très grande qualité ) et Le Monde ! Pour,celles et ceux,"qui voudraient continuer à creuser le sujet des causes et conséquences du changement climatique ,"
UCatQrO0034oo41LZoV7JRBw.3,FRANCE 12.07.2021 ANNONCE DE MACRON ! Nous arrivons dans l ' œil du cyclone,Celles et ceux,qui n ' ont pas la foi vont plonger tête la première dans la panique
UCGwLTplY0HbeKp-armV2FFg.191,,lui ou elle,il ya un vide juridique seul le président à ce pouvoir décisionnaire d ' imposer
UCaj6NIdX21jIgfa5reW4q0w.5,A tous les coups elles ont du contacter des,acteurs et actrices,de French Bu . . . Et les actrices signes des contrats de droit à
UCrjq5DIQ5UV3RAT2ESadeiQ.210,"phénomène de "" réaction "" à la période covid et aux difficultés économiques vécues par",certaines et certains,", mais à quelque chose de plus basique et plus fondamental . En réalité ,"
UCW3SSdWZKS64YFk2biP0wqQ.2,vouloir condamner les industries du porno ( en tout cas pas celle qui respecte les,acteurs et actrices,ainsi que les normes ) . J ' espère donc que ces cours de sensibilisations
UCAK63EPErIIM1-FB3xD_lQw.4,"vérité . . . Tout les pic "" ousé ( e ) s ou pratiquement",toutes et tous,"seront sté "" riles et il y a déjà minimum des centaines de milliers de"
UCQPqAfqnLUfdhW4iudUIBwg.4,"en attente de mise sur le marché AMM , toujours en phase de test ,",celles et ceux,"qui se sont fait vaccinées , vous n ' êtes ni plus ni moins des"
UC-2xxqJE97jJg9usZA49COQ.15,* Excellent .,Celles et ceux,qui veulent dévoiler les femmes aujourd ' hui devraient connaître cet aspect de l '
UC83GdGHkEWrxZk6U0VwBXZQ.8," entreprises , les aides-soignantes et aides-soignants , les fleuristes , les juges , les",avocats et avocates,", les journalistes et autres indépendant-es … Il n ' y a , à ma"
